Date (GMT+2),DE (TenneT) Load decrease (current-induced),DE (TenneT) Load decrease (voltage-induced)
2024-10-19T10:45+02:00,,
2024-10-19T11:00+02:00,,
2024-10-19T11:15+02:00,,
2024-10-19T11:30+02:00,,
2024-10-19T11:45+02:00,,
2024-10-19T12:00+02:00,,
2024-10-19T12:15+02:00,,
2024-10-19T12:30+02:00,,
2024-10-19T12:45+02:00,,
2024-10-19T13:00+02:00,,
2024-10-19T13:15+02:00,,
2024-10-19T13:30+02:00,,
2024-10-19T13:45+02:00,,
2024-10-19T14:00+02:00,,
2024-10-19T14:15+02:00,,
2024-10-19T14:30+02:00,,
2024-10-19T14:45+02:00,,
2024-10-19T15:00+02:00,,
2024-10-19T15:15+02:00,,
2024-10-19T15:30+02:00,,
2024-10-19T15:45+02:00,,
2024-10-19T16:00+02:00,,
2024-10-19T16:15+02:00,,
2024-10-19T16:30+02:00,,
2024-10-19T16:45+02:00,,
2024-10-19T17:00+02:00,,
2024-10-19T17:15+02:00,,
2024-10-19T17:30+02:00,,
2024-10-19T17:45+02:00,,
2024-10-19T18:00+02:00,,
2024-10-19T18:15+02:00,,
2024-10-19T18:30+02:00,,
2024-10-19T18:45+02:00,,
2024-10-19T19:00+02:00,,
2024-10-19T19:15+02:00,,
2024-10-19T19:30+02:00,,
2024-10-19T19:45+02:00,,
2024-10-19T20:00+02:00,,
2024-10-19T20:15+02:00,,
2024-10-19T20:30+02:00,,
2024-10-19T20:45+02:00,,
2024-10-19T21:00+02:00,,
2024-10-19T21:15+02:00,,
2024-10-19T21:30+02:00,,
2024-10-19T21:45+02:00,,
2024-10-19T22:00+02:00,,
2024-10-19T22:15+02:00,,
2024-10-19T22:30+02:00,,
2024-10-19T22:45+02:00,,
2024-10-19T23:00+02:00,,
2024-10-19T23:15+02:00,,
2024-10-19T23:30+02:00,,
2024-10-19T23:45+02:00,,
2024-10-20T00:00+02:00,-211.25,
2024-10-20T00:15+02:00,-252.75,
2024-10-20T00:30+02:00,-252.75,
2024-10-20T00:45+02:00,-252.75,
2024-10-20T01:00+02:00,-220,
2024-10-20T01:15+02:00,-180,
2024-10-20T01:30+02:00,-180,
2024-10-20T01:45+02:00,-180,
2024-10-20T02:00+02:00,-130,
2024-10-20T02:15+02:00,-130,
2024-10-20T02:30+02:00,-130,
2024-10-20T02:45+02:00,-130,
2024-10-20T03:00+02:00,-129.75,
2024-10-20T03:15+02:00,-129.75,
2024-10-20T03:30+02:00,-129.75,
2024-10-20T03:45+02:00,-129.75,
2024-10-20T04:00+02:00,-121.25,
2024-10-20T04:15+02:00,-121.25,
2024-10-20T04:30+02:00,-121.25,
2024-10-20T04:45+02:00,-121.25,
2024-10-20T05:00+02:00,-68,
2024-10-20T05:15+02:00,-68,
2024-10-20T05:30+02:00,-68,
2024-10-20T05:45+02:00,-68,
2024-10-20T06:00+02:00,-36,
2024-10-20T06:15+02:00,-36,
2024-10-20T06:30+02:00,-36,
2024-10-20T06:45+02:00,-36,
2024-10-20T07:00+02:00,-11,
2024-10-20T07:15+02:00,-11,
2024-10-20T07:30+02:00,-11,
2024-10-20T07:45+02:00,-11,
2024-10-20T08:00+02:00,,
2024-10-20T08:15+02:00,,
2024-10-20T08:30+02:00,,
2024-10-20T08:45+02:00,,
2024-10-20T09:00+02:00,,
2024-10-20T09:15+02:00,,
2024-10-20T09:30+02:00,,
2024-10-20T09:45+02:00,,
2024-10-20T10:00+02:00,-50,
2024-10-20T10:15+02:00,-50,
2024-10-20T10:30+02:00,-50,
2024-10-20T10:45+02:00,-50,
2024-10-20T11:00+02:00,-150,
2024-10-20T11:15+02:00,-150,
2024-10-20T11:30+02:00,-150,
2024-10-20T11:45+02:00,-150,
2024-10-20T12:00+02:00,-204.25,
2024-10-20T12:15+02:00,-204.25,
2024-10-20T12:30+02:00,-204.25,
2024-10-20T12:45+02:00,-204.25,
2024-10-20T13:00+02:00,-130.25,
2024-10-20T13:15+02:00,-130.25,
2024-10-20T13:30+02:00,-130.25,
2024-10-20T13:45+02:00,-130.25,
2024-10-20T14:00+02:00,-179.25,
2024-10-20T14:15+02:00,-198.75,
2024-10-20T14:30+02:00,-207.25,
2024-10-20T14:45+02:00,-226.75,
2024-10-20T15:00+02:00,-242.25,
2024-10-20T15:15+02:00,-276.75,
2024-10-20T15:30+02:00,-349.25,
2024-10-20T15:45+02:00,-396.25,
2024-10-20T16:00+02:00,-481,
2024-10-20T16:15+02:00,-566.25,
2024-10-20T16:30+02:00,-644.5,
2024-10-20T16:45+02:00,-649.5,
2024-10-20T17:00+02:00,-682.25,
2024-10-20T17:15+02:00,-682.25,
2024-10-20T17:30+02:00,-687.25,
2024-10-20T17:45+02:00,-692.25,
2024-10-20T18:00+02:00,-613.75,
2024-10-20T18:15+02:00,-613.75,
2024-10-20T18:30+02:00,-628.25,
2024-10-20T18:45+02:00,-650.75,
2024-10-20T19:00+02:00,-638.75,
2024-10-20T19:15+02:00,-638.75,
2024-10-20T19:30+02:00,-638.75,
2024-10-20T19:45+02:00,-638.75,
2024-10-20T20:00+02:00,-672,
2024-10-20T20:15+02:00,-672,
2024-10-20T20:30+02:00,-672,
2024-10-20T20:45+02:00,-672,
2024-10-20T21:00+02:00,-454.75,
2024-10-20T21:15+02:00,-433,
2024-10-20T21:30+02:00,-433,
2024-10-20T21:45+02:00,-433,
2024-10-20T22:00+02:00,-579.5,
2024-10-20T22:15+02:00,-579.5,
2024-10-20T22:30+02:00,-579.5,
2024-10-20T22:45+02:00,-541.75,
2024-10-20T23:00+02:00,-648.5,
2024-10-20T23:15+02:00,-648.5,
2024-10-20T23:30+02:00,-666,
2024-10-20T23:45+02:00,-666,
2024-10-21T00:00+02:00,-12.5,
2024-10-21T00:15+02:00,-12.5,
2024-10-21T00:30+02:00,-12.5,
2024-10-21T00:45+02:00,-12.5,
2024-10-21T01:00+02:00,-12.5,
2024-10-21T01:15+02:00,-12.5,
2024-10-21T01:30+02:00,-20,
2024-10-21T01:45+02:00,-20,
2024-10-21T02:00+02:00,-20,
2024-10-21T02:15+02:00,-20,
2024-10-21T02:30+02:00,-20,
2024-10-21T02:45+02:00,-20,
2024-10-21T03:00+02:00,-20,
2024-10-21T03:15+02:00,-20,
2024-10-21T03:30+02:00,-20,
2024-10-21T03:45+02:00,-20,
2024-10-21T04:00+02:00,-20,
2024-10-21T04:15+02:00,-20,
2024-10-21T04:30+02:00,-20,
2024-10-21T04:45+02:00,-20,
2024-10-21T05:00+02:00,-20,
2024-10-21T05:15+02:00,-20,
2024-10-21T05:30+02:00,-20,
2024-10-21T05:45+02:00,-20,
2024-10-21T06:00+02:00,-222.5,
2024-10-21T06:15+02:00,-343,
2024-10-21T06:30+02:00,-390.25,
2024-10-21T06:45+02:00,-387.5,
2024-10-21T07:00+02:00,-294,
2024-10-21T07:15+02:00,-298,
2024-10-21T07:30+02:00,-293.25,
2024-10-21T07:45+02:00,-292.75,
2024-10-21T08:00+02:00,-419,
2024-10-21T08:15+02:00,-443.5,
2024-10-21T08:30+02:00,-440,
2024-10-21T08:45+02:00,-438,
2024-10-21T09:00+02:00,-167,
2024-10-21T09:15+02:00,-154.5,
2024-10-21T09:30+02:00,-174.5,
2024-10-21T09:45+02:00,-193.25,
2024-10-21T10:00+02:00,-216.75,
2024-10-21T10:15+02:00,-216.75,
2024-10-21T10:30+02:00,-216.75,
2024-10-21T10:45+02:00,-300,
2024-10-21T11:00+02:00,-368,
2024-10-21T11:15+02:00,-364,
2024-10-21T11:30+02:00,-361.5,
2024-10-21T11:45+02:00,-361.5,
2024-10-21T12:00+02:00,-356,
2024-10-21T12:15+02:00,-351,
2024-10-21T12:30+02:00,-346,
2024-10-21T12:45+02:00,-343.5,
2024-10-21T13:00+02:00,-339.25,
2024-10-21T13:15+02:00,-331.75,
2024-10-21T13:30+02:00,-324.25,
2024-10-21T13:45+02:00,-316.75,
2024-10-21T14:00+02:00,-297.5,
2024-10-21T14:15+02:00,-292.5,
2024-10-21T14:30+02:00,-287.5,
2024-10-21T14:45+02:00,-280,
2024-10-21T15:00+02:00,-295,
2024-10-21T15:15+02:00,-290,
2024-10-21T15:30+02:00,-280,
2024-10-21T15:45+02:00,-272.5,
2024-10-21T16:00+02:00,-133.643,
2024-10-21T16:15+02:00,-133.75,
2024-10-21T16:30+02:00,-129,
2024-10-21T16:45+02:00,-110.75,
2024-10-21T17:00+02:00,-100,
2024-10-21T17:15+02:00,-99.90275,
2024-10-21T17:30+02:00,-99.76525,
2024-10-21T17:45+02:00,-99.82625,
2024-10-21T18:00+02:00,-12.5,
2024-10-21T18:15+02:00,-12.5,
2024-10-21T18:30+02:00,-12.5,
2024-10-21T18:45+02:00,-12.5,
2024-10-21T19:00+02:00,-12.5,
2024-10-21T19:15+02:00,-12.5,
2024-10-21T19:30+02:00,-12.5,
2024-10-21T19:45+02:00,-12.5,
2024-10-21T20:00+02:00,-12.5,
2024-10-21T20:15+02:00,-12.5,
2024-10-21T20:30+02:00,-12.5,
2024-10-21T20:45+02:00,-12.5,
2024-10-21T21:00+02:00,-12.5,
2024-10-21T21:15+02:00,-12.5,
2024-10-21T21:30+02:00,-12.5,
2024-10-21T21:45+02:00,-12.5,
2024-10-21T22:00+02:00,-12.5,
2024-10-21T22:15+02:00,-12.5,
2024-10-21T22:30+02:00,-12.5,
2024-10-21T22:45+02:00,-12.5,
2024-10-21T23:00+02:00,-12.5,
2024-10-21T23:15+02:00,-12.5,
2024-10-21T23:30+02:00,-12.5,
2024-10-21T23:45+02:00,-12.5,
2024-10-22T00:00+02:00,,
2024-10-22T00:15+02:00,,
2024-10-22T00:30+02:00,,
2024-10-22T00:45+02:00,,
2024-10-22T01:00+02:00,,
2024-10-22T01:15+02:00,,
2024-10-22T01:30+02:00,,
2024-10-22T01:45+02:00,,
2024-10-22T02:00+02:00,,
2024-10-22T02:15+02:00,,
2024-10-22T02:30+02:00,,
2024-10-22T02:45+02:00,,
2024-10-22T03:00+02:00,,
2024-10-22T03:15+02:00,,
2024-10-22T03:30+02:00,,
2024-10-22T03:45+02:00,,
2024-10-22T04:00+02:00,,
2024-10-22T04:15+02:00,,
2024-10-22T04:30+02:00,,
2024-10-22T04:45+02:00,,
2024-10-22T05:00+02:00,,
2024-10-22T05:15+02:00,,
2024-10-22T05:30+02:00,,
2024-10-22T05:45+02:00,,
2024-10-22T06:00+02:00,-12.5,
2024-10-22T06:15+02:00,-25,
2024-10-22T06:30+02:00,-25,
2024-10-22T06:45+02:00,-37.5,
2024-10-22T07:00+02:00,-50,
2024-10-22T07:15+02:00,-50,
2024-10-22T07:30+02:00,-50,
2024-10-22T07:45+02:00,-50,
2024-10-22T08:00+02:00,-87.5,
2024-10-22T08:15+02:00,-75,
2024-10-22T08:30+02:00,-75,
2024-10-22T08:45+02:00,-62.5,
2024-10-22T09:00+02:00,-50,
2024-10-22T09:15+02:00,-50,
2024-10-22T09:30+02:00,-50,
2024-10-22T09:45+02:00,-50,
2024-10-22T10:00+02:00,-96.5,
2024-10-22T10:15+02:00,-101.5,
2024-10-22T10:30+02:00,-106.5,
2024-10-22T10:45+02:00,-114,
2024-10-22T11:00+02:00,-221.75,
2024-10-22T11:15+02:00,-221.75,
2024-10-22T11:30+02:00,-221.75,
2024-10-22T11:45+02:00,-365,
2024-10-22T12:00+02:00,-437.75,
2024-10-22T12:15+02:00,-447.25,
2024-10-22T12:30+02:00,-498.82675,
2024-10-22T12:45+02:00,-528.5,
2024-10-22T13:00+02:00,-558,
2024-10-22T13:15+02:00,-575.5,
2024-10-22T13:30+02:00,-630.5,
2024-10-22T13:45+02:00,-650.5,
2024-10-22T14:00+02:00,-682.1065,
2024-10-22T14:15+02:00,-694.57075,
2024-10-22T14:30+02:00,-695.4825,
2024-10-22T14:45+02:00,-704.302,
2024-10-22T15:00+02:00,-571.75,
2024-10-22T15:15+02:00,-571,
2024-10-22T15:30+02:00,-561.5,
2024-10-22T15:45+02:00,-571.5,
2024-10-22T16:00+02:00,-518,
2024-10-22T16:15+02:00,-532.25,
2024-10-22T16:30+02:00,-541.75,
2024-10-22T16:45+02:00,-542.25,
2024-10-22T17:00+02:00,-479.75,
2024-10-22T17:15+02:00,-454.75,
2024-10-22T17:30+02:00,-431.75,
2024-10-22T17:45+02:00,-487.25,
2024-10-22T18:00+02:00,-342.5,
2024-10-22T18:15+02:00,-367.75,
2024-10-22T18:30+02:00,-367.75,
2024-10-22T18:45+02:00,-367.75,
2024-10-22T19:00+02:00,-287.5,
2024-10-22T19:15+02:00,-200,
2024-10-22T19:30+02:00,-150,
2024-10-22T19:45+02:00,-150,
2024-10-22T20:00+02:00,-122.5,
2024-10-22T20:15+02:00,-122.5,
2024-10-22T20:30+02:00,-122.5,
2024-10-22T20:45+02:00,-122.5,
2024-10-22T21:00+02:00,-99.25,
2024-10-22T21:15+02:00,-86.75,
2024-10-22T21:30+02:00,-86.75,
2024-10-22T21:45+02:00,-86.75,
2024-10-22T22:00+02:00,-43.5,
2024-10-22T22:15+02:00,-14,
2024-10-22T22:30+02:00,-4.25,
2024-10-22T22:45+02:00,-4.25,
2024-10-22T23:00+02:00,,
2024-10-22T23:15+02:00,,
2024-10-22T23:30+02:00,,
2024-10-22T23:45+02:00,,
2024-10-23T00:00+02:00,,
2024-10-23T00:15+02:00,,
2024-10-23T00:30+02:00,,
2024-10-23T00:45+02:00,,
2024-10-23T01:00+02:00,,
2024-10-23T01:15+02:00,,
2024-10-23T01:30+02:00,,
2024-10-23T01:45+02:00,,
2024-10-23T02:00+02:00,,
2024-10-23T02:15+02:00,,
2024-10-23T02:30+02:00,,
2024-10-23T02:45+02:00,,
2024-10-23T03:00+02:00,,
2024-10-23T03:15+02:00,,
2024-10-23T03:30+02:00,,
2024-10-23T03:45+02:00,,
2024-10-23T04:00+02:00,,
2024-10-23T04:15+02:00,,
2024-10-23T04:30+02:00,,
2024-10-23T04:45+02:00,,
2024-10-23T05:00+02:00,,
2024-10-23T05:15+02:00,,
2024-10-23T05:30+02:00,,
2024-10-23T05:45+02:00,,
2024-10-23T06:00+02:00,,
2024-10-23T06:15+02:00,,
2024-10-23T06:30+02:00,,
2024-10-23T06:45+02:00,,
2024-10-23T07:00+02:00,,
2024-10-23T07:15+02:00,,
2024-10-23T07:30+02:00,,
2024-10-23T07:45+02:00,,
2024-10-23T08:00+02:00,,
2024-10-23T08:15+02:00,,
2024-10-23T08:30+02:00,,
2024-10-23T08:45+02:00,,
2024-10-23T09:00+02:00,,
2024-10-23T09:15+02:00,,
2024-10-23T09:30+02:00,,
2024-10-23T09:45+02:00,,
2024-10-23T10:00+02:00,,
2024-10-23T10:15+02:00,,
2024-10-23T10:30+02:00,,
2024-10-23T10:45+02:00,,
2024-10-23T11:00+02:00,,
2024-10-23T11:15+02:00,,
2024-10-23T11:30+02:00,,
2024-10-23T11:45+02:00,,
2024-10-23T12:00+02:00,,
2024-10-23T12:15+02:00,,
2024-10-23T12:30+02:00,,
2024-10-23T12:45+02:00,,
2024-10-23T13:00+02:00,,
2024-10-23T13:15+02:00,,
2024-10-23T13:30+02:00,,
2024-10-23T13:45+02:00,,
2024-10-23T14:00+02:00,,
2024-10-23T14:15+02:00,,
2024-10-23T14:30+02:00,,
2024-10-23T14:45+02:00,,
2024-10-23T15:00+02:00,,
2024-10-23T15:15+02:00,,
2024-10-23T15:30+02:00,,
2024-10-23T15:45+02:00,,
2024-10-23T16:00+02:00,,
2024-10-23T16:15+02:00,,
2024-10-23T16:30+02:00,,
2024-10-23T16:45+02:00,,
2024-10-23T17:00+02:00,,
2024-10-23T17:15+02:00,,
2024-10-23T17:30+02:00,,
2024-10-23T17:45+02:00,,
2024-10-23T18:00+02:00,,
2024-10-23T18:15+02:00,,
2024-10-23T18:30+02:00,,
2024-10-23T18:45+02:00,,
2024-10-23T19:00+02:00,,
2024-10-23T19:15+02:00,,
2024-10-23T19:30+02:00,,
2024-10-23T19:45+02:00,,
2024-10-23T20:00+02:00,,
2024-10-23T20:15+02:00,,
2024-10-23T20:30+02:00,,
2024-10-23T20:45+02:00,,
2024-10-23T21:00+02:00,,
2024-10-23T21:15+02:00,,
2024-10-23T21:30+02:00,,
2024-10-23T21:45+02:00,,
2024-10-23T22:00+02:00,,
2024-10-23T22:15+02:00,,
2024-10-23T22:30+02:00,,
2024-10-23T22:45+02:00,,
2024-10-23T23:00+02:00,,
2024-10-23T23:15+02:00,,
2024-10-23T23:30+02:00,,
2024-10-23T23:45+02:00,,
2024-10-24T00:00+02:00,,
2024-10-24T00:15+02:00,,
2024-10-24T00:30+02:00,,
2024-10-24T00:45+02:00,,
2024-10-24T01:00+02:00,,
2024-10-24T01:15+02:00,,
2024-10-24T01:30+02:00,,
2024-10-24T01:45+02:00,,
2024-10-24T02:00+02:00,,
2024-10-24T02:15+02:00,,
2024-10-24T02:30+02:00,,
2024-10-24T02:45+02:00,,
2024-10-24T03:00+02:00,,
2024-10-24T03:15+02:00,,
2024-10-24T03:30+02:00,,
2024-10-24T03:45+02:00,,
2024-10-24T04:00+02:00,,
2024-10-24T04:15+02:00,,
2024-10-24T04:30+02:00,,
2024-10-24T04:45+02:00,,
2024-10-24T05:00+02:00,,
2024-10-24T05:15+02:00,,
2024-10-24T05:30+02:00,,
2024-10-24T05:45+02:00,,
2024-10-24T06:00+02:00,,
2024-10-24T06:15+02:00,,
2024-10-24T06:30+02:00,,
2024-10-24T06:45+02:00,,
2024-10-24T07:00+02:00,,
2024-10-24T07:15+02:00,,
2024-10-24T07:30+02:00,,
2024-10-24T07:45+02:00,,
2024-10-24T08:00+02:00,,
2024-10-24T08:15+02:00,,
2024-10-24T08:30+02:00,,
2024-10-24T08:45+02:00,,
2024-10-24T09:00+02:00,,
2024-10-24T09:15+02:00,,
2024-10-24T09:30+02:00,,
2024-10-24T09:45+02:00,,
2024-10-24T10:00+02:00,,
2024-10-24T10:15+02:00,,
2024-10-24T10:30+02:00,,
2024-10-24T10:45+02:00,,
2024-10-24T11:00+02:00,,
2024-10-24T11:15+02:00,,
2024-10-24T11:30+02:00,,
2024-10-24T11:45+02:00,,
2024-10-24T12:00+02:00,,
2024-10-24T12:15+02:00,,
2024-10-24T12:30+02:00,,
2024-10-24T12:45+02:00,,
2024-10-24T13:00+02:00,,
2024-10-24T13:15+02:00,,
2024-10-24T13:30+02:00,,
2024-10-24T13:45+02:00,,
2024-10-24T14:00+02:00,,
2024-10-24T14:15+02:00,,
2024-10-24T14:30+02:00,,
2024-10-24T14:45+02:00,,
2024-10-24T15:00+02:00,,
2024-10-24T15:15+02:00,,
2024-10-24T15:30+02:00,,
2024-10-24T15:45+02:00,,
2024-10-24T16:00+02:00,,
2024-10-24T16:15+02:00,,
2024-10-24T16:30+02:00,-15,
2024-10-24T16:45+02:00,-40,
2024-10-24T17:00+02:00,-73,
2024-10-24T17:15+02:00,-73,
2024-10-24T17:30+02:00,-73,
2024-10-24T17:45+02:00,-73,
2024-10-24T18:00+02:00,,
2024-10-24T18:15+02:00,,
2024-10-24T18:30+02:00,,
2024-10-24T18:45+02:00,,
2024-10-24T19:00+02:00,-50,
2024-10-24T19:15+02:00,-50,
2024-10-24T19:30+02:00,-50,
2024-10-24T19:45+02:00,-50,
2024-10-24T20:00+02:00,,
2024-10-24T20:15+02:00,,
2024-10-24T20:30+02:00,,
2024-10-24T20:45+02:00,,
2024-10-24T21:00+02:00,,
2024-10-24T21:15+02:00,,
2024-10-24T21:30+02:00,,
2024-10-24T21:45+02:00,,
2024-10-24T22:00+02:00,-75,
2024-10-24T22:15+02:00,-75,
2024-10-24T22:30+02:00,-75,
2024-10-24T22:45+02:00,,
2024-10-24T23:00+02:00,,
2024-10-24T23:15+02:00,,
2024-10-24T23:30+02:00,,
2024-10-24T23:45+02:00,,
2024-10-25T00:00+02:00,,
2024-10-25T00:15+02:00,,
2024-10-25T00:30+02:00,,
2024-10-25T00:45+02:00,,
2024-10-25T01:00+02:00,,
2024-10-25T01:15+02:00,,
2024-10-25T01:30+02:00,,
2024-10-25T01:45+02:00,,
2024-10-25T02:00+02:00,,
2024-10-25T02:15+02:00,,
2024-10-25T02:30+02:00,,
2024-10-25T02:45+02:00,,
2024-10-25T03:00+02:00,,
2024-10-25T03:15+02:00,,
2024-10-25T03:30+02:00,,
2024-10-25T03:45+02:00,,
2024-10-25T04:00+02:00,,
2024-10-25T04:15+02:00,,
2024-10-25T04:30+02:00,,
2024-10-25T04:45+02:00,,
2024-10-25T05:00+02:00,,
2024-10-25T05:15+02:00,,
2024-10-25T05:30+02:00,,
2024-10-25T05:45+02:00,,
2024-10-25T06:00+02:00,,
2024-10-25T06:15+02:00,,
2024-10-25T06:30+02:00,,
2024-10-25T06:45+02:00,,
2024-10-25T07:00+02:00,,
2024-10-25T07:15+02:00,,
2024-10-25T07:30+02:00,,
2024-10-25T07:45+02:00,,
2024-10-25T08:00+02:00,,
2024-10-25T08:15+02:00,,
2024-10-25T08:30+02:00,,
2024-10-25T08:45+02:00,,
2024-10-25T09:00+02:00,,
2024-10-25T09:15+02:00,,
2024-10-25T09:30+02:00,,
2024-10-25T09:45+02:00,,
2024-10-25T10:00+02:00,,
2024-10-25T10:15+02:00,,
2024-10-25T10:30+02:00,,
2024-10-25T10:45+02:00,,
2024-10-25T11:00+02:00,,
2024-10-25T11:15+02:00,,
2024-10-25T11:30+02:00,,
2024-10-25T11:45+02:00,,
2024-10-25T12:00+02:00,,
2024-10-25T12:15+02:00,,
2024-10-25T12:30+02:00,-0.01875,
2024-10-25T12:45+02:00,-0.0185,
2024-10-25T13:00+02:00,,
2024-10-25T13:15+02:00,,
2024-10-25T13:30+02:00,,
2024-10-25T13:45+02:00,,
2024-10-25T14:00+02:00,,
2024-10-25T14:15+02:00,,
2024-10-25T14:30+02:00,,
2024-10-25T14:45+02:00,,
